Year,Divorce Rate,Country
2000,2.5999999,Australia
2001,2.8,Australia
2002,2.7,Australia
2003,2.7,Australia
2004,2.5999999,Australia
2005,2.5999999,Australia
2006,2.5,Australia
2007,2.3,Australia
2008,2.2,Australia
2009,2.3,Australia
2010,2.3,Australia
2011,2.2,Australia
2012,2.2,Australia
2013,2.0999999,Australia
2014,2.0,Australia
2015,2.0,Australia
2000,2.4000001,Austria
2001,2.5999999,Austria
2002,2.5,Austria
2003,2.3,Austria
2004,2.4000001,Austria
2005,2.4000001,Austria
2006,2.5,Austria
2007,2.5,Austria
2008,2.4000001,Austria
2009,2.3,Austria
2010,2.0999999,Austria
2011,2.0999999,Austria
2012,2.0,Austria
2013,1.9,Austria
2014,1.9,Austria
2015,1.9,Austria
2000,2.5999999,Belgium
2001,2.8,Belgium
2002,3.0,Belgium
2003,3.0,Belgium
2004,3.0,Belgium
2005,2.9000001,Belgium
2006,2.8,Belgium
2007,2.8,Belgium
2008,3.3,Belgium
2009,3.0,Belgium
2010,2.7,Belgium
2011,2.5,Belgium
2012,2.3,Belgium
2013,2.2,Belgium
2014,2.2,Belgium
2015,2.2,Belgium
2000,1.3,Bulgaria
2001,1.3,Bulgaria
2002,1.3,Bulgaria
2003,1.5,Bulgaria
2004,1.9,Bulgaria
2005,1.9,Bulgaria
2006,2.0,Bulgaria
2007,2.2,Bulgaria
2008,1.9,Bulgaria
2009,1.6,Bulgaria
2010,1.5,Bulgaria
2011,1.4,Bulgaria
2012,1.6,Bulgaria
2013,1.5,Bulgaria
2014,1.5,Bulgaria
2015,1.5,Bulgaria
2000,1.0,Croatia
2001,1.1,Croatia
2002,1.0,Croatia
2003,1.1,Croatia
2004,1.2,Croatia
2005,1.1,Croatia
2006,1.1,Croatia
2007,1.1,Croatia
2008,1.2,Croatia
2009,1.2,Croatia
2010,1.2,Croatia
2011,1.3,Croatia
2012,1.3,Croatia
2013,1.4,Croatia
2014,1.4,Croatia
2015,1.4,Croatia
2000,1.7,Cyprus
2001,1.7,Cyprus
2002,1.9,Cyprus
2003,2.0,Cyprus
2004,2.2,Cyprus
2005,2.0,Cyprus
2006,2.3,Cyprus
2007,2.0999999,Cyprus
2008,2.0999999,Cyprus
2009,2.2,Cyprus
2010,2.3,Cyprus
2011,2.3,Cyprus
2012,2.4000001,Cyprus
2013,2.2,Cyprus
2014,2.2,Cyprus
2015,2.0999999,Cyprus
2000,2.9000001,Czech Republic
2001,3.0999999,Czech Republic
2002,3.0999999,Czech Republic
2003,3.8,Czech Republic
2004,3.2,Czech Republic
2005,3.0999999,Czech Republic
2006,3.0999999,Czech Republic
2007,3.0,Czech Republic
2008,3.0,Czech Republic
2009,2.8,Czech Republic
2010,2.9000001,Czech Republic
2011,2.7,Czech Republic
2012,2.5,Czech Republic
2013,2.7,Czech Republic
2014,2.5,Czech Republic
2015,2.5,Czech Republic
2000,2.7,Denmark
2001,2.7,Denmark
2002,2.8,Denmark
2003,2.9000001,Denmark
2004,2.9000001,Denmark
2005,2.8,Denmark
2006,2.5999999,Denmark
2007,2.5999999,Denmark
2008,2.7,Denmark
2009,2.7,Denmark
2010,2.5999999,Denmark
2011,2.5999999,Denmark
2012,2.8,Denmark
2013,3.4000001,Denmark
2014,3.4000001,Denmark
2015,2.9000001,Denmark
2000,3.0,Estonia
2001,3.0999999,Estonia
2002,3.0,Estonia
2003,2.9000001,Estonia
2004,3.0999999,Estonia
2005,3.0,Estonia
2006,2.8,Estonia
